,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
110,Bull Savanna,JM,1537670294,17.89,-77.59,73.88,84,8,2.73
111,Upernavik,GL,1537670295,72.79,-56.15,28.52,100,12,7.2
112,The Valley,AI,1537668000,18.22,-63.06,84.2,70,40,6.93
113,Faanui,PF,1537670295,-16.48,-151.75,74.6,100,92,19.95
114,Camacha,PT,1537668000,33.08,-16.33,71.6,77,40,9.17
115,Moindou,NC,1537668000,-21.69,165.68,73.4,53,20,16.11
116,Norman Wells,CA,1537668000,65.28,-126.83,51.8,29,40,5.82
117,Port Hawkesbury,CA,1537668000,45.62,-61.36,51.8,62,1,5.82
118,Vanderhoof,CA,1537670297,54.02,-124.02,37.34,82,0,1.16
119,Kaitangata,NZ,1537670297,-46.28,169.85,46.25,100,80,15.7
120,Quesnel,CA,1537668000,52.98,-122.49,44.6,81,1,2.17
121,Clifton,AU,1537668000,-27.93,151.91,75.2,31,0,8.05
122,Cacule,BR,1537670298,-14.5,-42.22,75.09,61,20,12.46
123,Fort Saint James,CA,1537670298,54.43,-124.25,39.77,82,0,3.4
124,Ciro Marina,IT,1537670299,39.37,17.13,78.06,100,0,0.83
125,Matagami,NG,1537670223,9.67,8.4,68.52,99,92,2.73
126,Los Llanos de Aridane,ES,1537668000,28.66,-17.92,73.4,69,0,12.68
127,Mindelo,PT,1537668000,41.31,-8.72,57.2,100,0,3.36
128,Beremend,HU,1537668000,45.78,18.43,57.2,71,0,5.3
129,Kozhevnikovo,RU,1537670300,56.26,83.98,52.14,81,48,10.22
130,Sorland,NO,1537670300,67.67,12.69,48.95,100,92,39.64
131,Yantal,RU,1537670300,56.85,105.25,49.44,57,0,3.4
132,Esperance,TT,1537668000,10.24,-61.45,78.8,88,20,4.74
133,Kaduqli,SD,1537670301,11.01,29.72,67.22,89,0,2.73
134,Veraval,FR,1537668000,49.65,0.71,64.4,100,90,13.87
135,Chapais,CA,1537669020,49.78,-74.86,41.0,65,90,19.46
136,Ipixuna,BR,1537668000,-1.76,-48.8,77.0,88,0,8.05
137,Monrovia,LR,1537668000,6.33,-10.8,75.2,94,75,5.41
138,Gazanjyk,TM,1537670303,39.24,55.52,52.77,63,44,3.18
139,Zunyi,CN,1537670303,27.73,106.92,67.04,100,92,4.18
140,Horsham,AU,1537670303,-36.71,142.2,56.33,92,12,11.01
141,Terney,RU,1537670303,45.05,136.61,60.42,92,8,3.29
142,Luganville,VU,1537670304,-15.51,167.18,77.66,100,32,15.82
143,Changji,CN,1537670304,32.07,116.17,77.52,65,32,6.76
144,Georgetown,GY,1537668000,6.8,-58.16,77.0,100,0,4.7
145,Northam,GB,1537667400,51.04,-4.21,51.8,100,75,4.7
146,New Norfolk,AU,1537668240,-42.78,147.06,46.4,75,75,19.46
147,Port Blair,IN,1537670306,11.67,92.75,82.61,100,8,8.99
148,Tessalit,ML,1537670086,20.2,1.01,73.11,58,12,3.18
149,Mar del Plata,AR,1537670283,-46.43,-67.52,41.52,100,88,7.54
150,Bonthe,SL,1537670306,7.53,-12.5,75.68,99,92,3.4
151,Rawson,AR,1537670307,-43.3,-65.11,49.13,80,0,8.43
152,Bafq,IR,1537670307,31.6,55.4,57.23,39,0,0.6
153,Bat Yam,IL,1537667400,32.02,34.75,71.6,83,20,2.24
154,Nome,US,1537668900,30.04,-94.42,76.46,91,1,4.74
155,Ilulissat,GL,1537667400,69.22,-51.1,30.2,36,0,17.22
156,Kenora,CA,1537668900,49.76,-94.48,37.4,97,90,13.87
157,Praia da Vitoria,PT,1537668000,38.73,-27.07,73.4,83,20,11.79
158,Butaritari,KI,1537670309,3.07,172.79,85.17,100,8,6.64
159,Hamilton,BM,1537667700,32.3,-64.78,78.8,74,40,14.99
160,Hualmay,PE,1537670309,-11.1,-77.61,58.89,93,80,5.53
161,Te Anau,NZ,1537670310,-45.41,167.72,47.51,80,88,7.43
162,Keti Bandar,PK,1537670310,24.14,67.45,80.72,97,0,12.8
163,Ancud,CL,1537670310,-41.87,-73.83,46.02,96,92,9.44
164,Yurginskoye,RU,1537670311,56.82,67.39,49.17,95,88,7.09
165,Puerto del Rosario,ES,1537668000,28.5,-13.86,73.4,83,0,8.05
166,Ouargaye,BF,1537670311,11.5,0.06,72.62,97,24,3.51
167,Emba,CY,1537669800,34.81,32.42,73.4,72,0,6.93
168,Santa Cruz Cabralia,BR,1537668000,-16.28,-39.02,75.2,83,20,5.82
169,Vredendal,ZA,1537670312,-31.68,18.49,37.07,90,0,2.28
170,Carquefou,FR,1537668000,47.3,-1.49,66.2,100,90,12.75
171,Cherskiy,RU,1537670313,68.75,161.3,36.08,90,92,2.39
172,Hit,IQ,1537670313,33.64,42.83,70.73,33,0,8.55
173,Cooma,AU,1537670313,-36.24,149.13,54.66,84,64,3.96
174,Doka,SD,1537670313,13.52,35.76,69.65,90,0,2.95
175,Severo-Kurilsk,RU,1537670259,50.68,156.12,51.11,94,44,5.08
176,Wattegama,LK,1537670314,7.35,80.68,78.92,77,36,4.18
177,Bubaque,GW,1537664400,11.28,-15.83,78.8,88,40,2.24
178,Linxia,CN,1537670314,35.6,103.21,54.53,83,56,3.06
179,Pangnirtung,CA,1537670315,66.15,-65.72,27.39,88,56,6.2
180,Liverpool,GB,1537669200,53.41,-2.98,46.4,87,20,3.36
181,Alyangula,AU,1537670315,-13.85,136.42,83.33,82,0,8.99
182,Dumingag,PH,1537670315,8.15,123.34,81.17,86,56,4.18
183,Broken Hill,AU,1537670316,-31.97,141.45,71.67,46,24,11.01
184,Alamogordo,US,1537668900,32.9,-105.96,68.0,60,1,6.93
185,Damietta,EG,1537668000,31.42,31.81,77.0,83,40,4.7
186,Torbay,CA,1537668000,47.66,-52.73,48.2,81,40,12.75
187,Castro,CL,1537670142,-42.48,-73.76,45.57,100,88,7.2
188,Mongu,ZM,1537670317,-15.27,23.14,65.91,44,0,8.55
189,Bukama,CD,1537670317,-9.2,25.85,73.16,66,80,2.51
190,Aklavik,CA,1537668000,68.22,-135.01,41.0,80,90,4.7
191,Faya,SA,1537668000,18.39,42.45,64.4,27,0,6.2
192,Pestovo,RU,1537668000,55.36,37.98,59.0,62,0,11.18
193,Lata,IN,1537670318,30.78,78.62,53.31,100,100,1.83
194,Buritizeiro,BR,1537670319,-17.37,-44.96,72.53,62,36,6.2
195,Poya,NC,1537670319,-21.35,165.16,70.64,97,56,19.73
196,Lac du Bonnet,CA,1537670319,50.25,-96.06,39.99,86,88,11.01
197,Abalak,NE,1537670319,15.46,6.28,73.02,76,0,3.4
198,Barrow,AR,1537670309,-38.31,-60.23,55.88,40,0,9.66
199,Hambantota,LK,1537670320,6.12,81.12,80.49,100,64,7.76
200,Adelaide,AU,1537668000,-34.93,138.6,64.4,48,90,12.75
201,Villacarrillo,ES,1537670320,38.12,-3.08,60.51,79,0,2.73
202,Labuhan,ID,1537670320,-2.54,115.51,89.36,56,0,3.85
203,Iqaluit,CA,1537668000,63.75,-68.52,33.8,80,75,14.99
204,Klyuchi,RU,1537670321,52.25,79.17,54.62,81,92,12.8
205,San Patricio,PY,1537670321,-26.98,-56.83,76.4,76,8,4.74
206,Arraial do Cabo,BR,1537670322,-22.97,-42.02,67.04,100,20,2.95
207,Aldergrove,CA,1537668480,49.06,-122.49,60.8,77,75,13.87
208,Mogok,MM,1537670322,22.92,96.51,79.55,81,44,2.17
209,Tiksi,RU,1537670323,71.64,128.87,34.82,100,64,12.46
210,Butterworth,MY,1537668000,5.4,100.37,84.2,74,75,4.7
211,Victoria,BN,1537668000,5.28,115.24,86.0,79,75,3.36
212,Awbari,LY,1537670324,26.59,12.77,69.87,37,0,9.44
213,Cockburn Town,TC,1537670270,21.46,-71.14,83.24,99,0,13.02
214,Abbeville,FR,1537668000,50.11,1.83,64.4,93,90,3.36
215,Castrillon,ES,1537669800,43.4,-6.79,62.6,100,90,3.36
216,Tigzirt,DZ,1537670325,36.57,4.2,56.01,88,0,3.29
217,Joshimath,IN,1537670325,30.57,79.57,34.86,100,92,1.05
218,Vestmannaeyjar,IS,1537670325,63.44,-20.27,37.29,100,0,7.99
219,Okakarara,NA,1537670325,-20.59,17.46,53.9,58,8,2.39
220,El Sauzal,AR,1537668000,-24.3,-64.96,78.8,57,0,4.7
221,Kununurra,AU,1537668000,-15.77,128.74,95.0,5,0,17.22
222,Meru,KE,1537670326,0.05,37.65,57.59,89,0,4.41
223,Isla Vista,US,1537667760,34.41,-119.86,64.4,83,1,8.05
224,Sur,OM,1537670327,22.57,59.53,83.01,89,0,0.72
225,Arcata,US,1537667700,40.87,-124.08,62.06,67,1,8.05
226,Riverton,US,1537667580,43.02,-108.38,68.0,6,1,10.29
227,Guerrero Negro,MX,1537670328,27.97,-114.04,71.0,87,20,9.66
228,Margate,AU,1537668240,-43.03,147.26,46.4,75,75,19.46
229,Grootfontein,NA,1537670328,-19.56,18.1,54.71,59,0,3.74
230,Pathalgaon,IN,1537670329,22.56,83.46,74.78,97,32,3.96
231,Kapit,MY,1537670141,2.02,112.94,82.07,84,68,2.73
232,Ceres,AR,1537670221,-29.88,-61.95,83.69,62,0,7.65
233,Vanavara,RU,1537670329,60.35,102.28,47.24,66,20,3.74
234,Raymond,US,1537667760,43.04,-71.18,57.92,68,75,4.07
235,Harsin,IR,1537668000,34.27,47.59,57.2,44,0,4.7
236,Pijijiapan,MX,1537670330,15.69,-93.21,75.36,93,80,1.72
237,Chuy,UY,1537670331,-33.69,-53.46,65.96,97,92,8.77
238,Tandil,AR,1537670331,-37.33,-59.14,53.0,88,0,3.18
239,La Ronge,CA,1537668000,55.1,-105.3,32.0,86,20,2.24
240,Honggang,CN,1537670331,29.51,114.87,78.42,72,92,3.18
241,Fianarantsoa,MG,1537670332,-21.45,47.09,37.88,75,0,2.28
242,Quime,BO,1537670332,-16.98,-67.22,46.16,94,0,0.72
243,Mbandaka,CD,1537670332,0.05,18.26,69.56,100,88,4.18
244,Pascagoula,US,1537667760,30.37,-88.56,82.94,93,1,4.41
245,Ibra,OM,1537670333,22.69,58.55,68.75,51,0,2.39
246,Wanning,AT,1537667400,48.64,13.53,53.6,93,75,2.24
247,Umm Kaddadah,SD,1537670333,13.6,26.69,73.34,77,0,3.62
248,Acapulco,MX,1537667280,16.86,-99.88,84.2,74,75,5.82
249,Airai,TL,1537670334,-8.93,125.41,86.66,34,0,2.62
250,Saint Anthony,US,1537667760,43.97,-111.68,69.98,4,1,4.7
251,Pacific Grove,US,1537668180,36.62,-121.92,62.6,83,1,4.7
252,Alekseyevsk,RU,1537670335,57.84,108.35,50.57,57,0,3.4
253,Bethel,US,1537667580,60.79,-161.76,50.0,96,90,23.04
254,Rio Grande,BR,1537670336,-32.03,-52.1,70.64,80,56,15.93
255,Bonavista,CA,1537670336,48.65,-53.11,49.17,98,0,21.85
256,Pisco,PE,1537668000,-13.71,-76.2,60.8,87,0,12.75
257,General Roca,AR,1537668000,-39.03,-67.58,59.0,28,0,16.11
258,Aksu,KZ,1537668000,52.04,76.93,51.8,93,90,8.95
259,Bitung,ID,1537668000,1.44,125.19,86.0,62,40,4.7
260,Flinders,AU,1537668000,-34.58,150.85,62.6,63,75,9.17
261,Sinnamary,GF,1537670338,5.38,-52.96,82.11,94,0,11.68
262,Panjab,AF,1537670338,34.38,67.02,35.04,81,0,2.95
263,Kendari,ID,1537670339,-3.99,122.52,84.68,83,20,4.41
264,Padang,ID,1537670339,-0.92,100.36,81.71,100,0,3.62
265,Mehran,IR,1537668000,33.12,46.17,66.2,29,0,4.7
266,Belmonte,PT,1537670339,40.36,-7.35,56.78,71,12,2.62
267,Vardo,US,1537667700,39.62,-77.74,62.06,69,1,5.82
268,Yaan,NG,1537670340,7.38,8.57,72.12,98,92,5.86
269,Touros,BR,1537670340,-5.2,-35.46,74.51,92,32,10.67
270,Mahebourg,MU,1537668000,-20.41,57.7,73.4,78,75,10.29
271,Wladyslawowo,PL,1537669800,54.79,18.4,46.4,87,0,11.41
272,Carlisle,GB,1537667400,54.89,-2.94,35.6,100,92,8.05
273,Ust-Nera,RU,1537670342,64.57,143.24,30.27,86,88,1.83
274,Tarakan,ID,1537670342,3.3,117.63,85.49,85,12,3.06
275,Sooke,CA,1537668000,48.37,-123.73,59.0,71,40,14.99
276,Tianpeng,CN,1537670343,28.88,112.34,68.61,100,92,5.19
277,Nemuro,JP,1537668000,43.32,145.57,57.2,100,75,9.17
278,Talara,PE,1537670343,-4.58,-81.27,66.41,84,0,6.53
279,Agadez,NE,1537670344,16.97,7.99,82.56,26,48,6.53
280,Abu Dhabi,AE,1537668000,24.47,54.37,87.8,79,0,4.7
281,Amlame,TG,1537670344,7.47,0.9,68.75,98,92,4.63
282,Omboue,GA,1537670345,-1.57,9.26,77.07,100,80,10.78
283,Tommot,RU,1537670345,58.97,126.27,39.41,100,92,6.2
284,Baykit,RU,1537670345,61.68,96.39,45.8,74,0,3.85
285,Iskandar,IR,1537668000,38.02,46.58,55.4,71,20,2.24
286,Gat,SN,1537670346,14.69,-16.54,79.32,92,20,7.65
287,Havre-Saint-Pierre,CA,1537668000,50.23,-63.6,41.0,52,40,13.87
288,Omsukchan,RU,1537670346,62.53,155.8,40.67,67,24,3.62
289,Lumeje,AO,1537670346,-11.56,20.78,74.15,35,92,5.64
290,Itarema,BR,1537670347,-2.92,-39.92,76.17,89,24,14.47
291,Thinadhoo,MV,1537670347,0.53,72.93,83.51,100,88,1.95
292,Najran,SA,1537668000,17.54,44.22,69.8,19,0,2.62
293,Filingue,NE,1537670348,14.35,3.32,76.26,85,20,3.62
294,Ribeira Grande,PT,1537670348,38.52,-28.7,75.36,95,76,15.37
295,Bang Sai,TH,1537666200,14.21,100.5,86.0,79,20,4.7
296,Kitui,KE,1537670348,-1.37,38.02,60.83,90,48,5.64
297,Vao,EE,1537670349,59.1,26.19,50.07,84,0,11.01
298,Kelvington,CA,1537670349,52.16,-103.52,33.29,70,92,11.01
299,Lewisporte,CA,1537668000,49.25,-55.06,46.4,70,20,12.75
300,Taltal,CL,1537670349,-25.41,-70.49,50.61,97,0,1.5
301,Qingquan,TW,1537668000,24.58,121.1,95.0,75,40,8.05
302,Sept-Iles,CA,1537668000,50.2,-66.38,37.4,59,20,5.82
303,Khor,RU,1537670350,47.88,134.96,61.19,90,0,4.63
304,Biak,ID,1537670080,-0.91,122.88,82.52,81,36,6.64
305,Ponta do Sol,BR,1537670351,-20.63,-46.0,62.54,83,0,7.54
306,Yuzhne,UA,1537668000,48.22,33.85,59.0,67,0,17.9
307,Inhambane,MZ,1537670351,-23.87,35.38,72.12,97,92,8.1
308,Iracoubo,GF,1537670351,5.48,-53.21,79.37,78,0,5.97
309,Caravelas,BR,1537670351,-17.73,-39.27,77.07,100,76,9.66
310,Grand Gaube,MU,1537668000,-20.01,57.66,73.4,78,75,10.29
311,Neiafu,TO,1537668000,-18.65,-173.98,82.4,69,20,4.7
312,Mhlume,SZ,1537668000,-26.03,31.81,62.6,100,92,3.51
313,Wellington,NZ,1537668000,-41.29,174.78,55.4,76,0,20.8
314,Codrington,AU,1537670353,-28.95,153.24,74.64,61,0,3.18
315,Okhotsk,RU,1537670353,59.36,143.24,50.93,80,32,6.08
316,Pulivendla,IN,1537670353,14.42,78.23,79.77,64,76,4.41
317,Ozuluama,MX,1537670354,21.12,-98.35,69.47,100,92,2.62
318,Langsa,ID,1537670354,4.47,97.97,79.37,88,24,2.73
319,Qinhuangdao,CN,1537670354,39.94,119.59,65.91,34,0,8.66
320,Rapid Valley,US,1537668900,44.06,-103.15,64.94,59,1,2.39
321,Port Shepstone,ZA,1537670355,-30.74,30.45,64.88,92,88,14.25
322,Saskylakh,RU,1537670355,71.97,114.09,37.25,95,68,5.53
323,Kondinskoye,RU,1537670286,59.65,67.41,47.6,96,76,5.97
324,Hay River,CA,1537668000,60.82,-115.79,46.4,28,20,10.29
325,Tautira,PF,1537668000,-17.73,-149.15,82.4,61,20,10.29
326,Kieta,PG,1537670221,-6.22,155.63,79.91,100,76,4.41
327,Kruisfontein,ZA,1537670356,-34.0,24.73,51.92,100,0,5.41
328,Quang Ngai,VN,1537670356,15.12,108.8,83.01,79,20,3.29
329,Manosque,FR,1537668000,43.83,5.78,69.8,34,0,6.93
330,Ucluelet,CA,1537664400,48.94,-125.55,57.2,82,20,13.87
331,Isangel,VU,1537670357,-19.55,169.27,71.49,100,44,17.72
332,Santa Maria,BR,1537668000,-29.69,-53.81,86.0,48,0,13.87
333,Tacub,PH,1537670357,8.19,124.11,81.44,100,20,1.95
334,Palmer,AU,1537668000,-34.85,139.16,64.4,48,90,12.75
335,Fort Nelson,CA,1537668000,58.81,-122.69,51.8,34,20,5.82
336,Pontivy,FR,1537668000,48.06,-2.97,64.4,100,90,17.22
337,Poum,MK,1537670359,41.28,20.71,52.59,89,0,2.39
338,Avera,US,1537667700,33.19,-82.53,80.96,80,1,3.36
339,Namatanai,PG,1537670359,-3.66,152.44,84.27,97,20,12.8
340,Longyearbyen,NO,1537667400,78.22,15.63,35.6,64,75,26.4
341,College,US,1537668360,64.86,-147.8,48.02,96,90,3.36
342,Tura,IN,1537670360,25.52,90.21,80.9,90,92,3.4
343,Le Port,FR,1537670360,42.87,1.37,46.29,91,0,1.72
344,Kibala,TD,1537670361,9.11,18.35,74.96,84,20,1.95
345,Luderitz,NA,1537670361,-26.65,15.16,52.64,86,0,17.05
346,Impfondo,CD,1537670361,1.62,18.06,70.1,100,92,3.4
347,Ribnitz-Damgarten,DE,1537669200,54.24,12.43,46.4,93,20,6.93
348,Port Augusta,AU,1537668000,-32.49,137.76,62.6,67,36,11.41
349,Saldanha,PT,1537670362,41.42,-6.55,51.56,79,8,1.95
350,Karratha,AU,1537670362,-20.74,116.85,93.99,8,0,4.63
351,Bambous Virieux,MU,1537668000,-20.34,57.76,73.4,78,75,10.29
352,Cairns,AU,1537668000,-16.92,145.77,73.4,69,75,16.11
353,Puri,ID,1537664400,-7.54,112.45,82.4,69,20,4.74
354,Camapua,BR,1537670363,-19.53,-54.04,69.69,81,8,3.62
355,Zernograd,RU,1537670363,46.84,40.3,58.67,68,0,9.22
356,Karasjok,NO,1537669200,69.47,25.52,48.2,81,92,27.51
357,Chenzhou,CN,1537670364,25.81,113.03,76.49,90,44,5.19
358,Kutum,SD,1537670364,14.2,24.66,71.36,63,0,8.21
359,Westport,IE,1537670364,53.8,-9.52,46.25,93,80,8.55
360,Sakaraha,MG,1537670365,-22.91,44.53,53.45,79,0,1.5
361,Alofi,NU,1537668000,-19.06,-169.92,80.6,74,0,11.41
362,Takoradi,GH,1537670365,4.89,-1.75,77.16,100,76,9.1
363,Hofn,IS,1537670365,64.25,-15.21,39.23,100,56,3.29
364,Muddebihal,IN,1537670366,16.33,76.13,72.44,84,24,6.98
365,Tilichiki,RU,1537670366,60.47,166.1,50.57,89,44,4.97
366,Nuuk,GL,1537667400,64.17,-51.74,37.4,100,75,8.05
367,Beloha,MG,1537670366,-25.17,45.06,69.56,94,92,10.0
368,Ellensburg,US,1537667760,47.0,-120.55,64.94,59,75,18.34
369,Fortuna,ES,1537668000,38.18,-1.13,69.8,94,0,3.36
370,Samdrup Jongkhar,IN,1537670367,26.8,91.5,69.2,93,76,0.94
371,Galdar,ES,1537669800,28.15,-15.65,73.4,78,20,25.28
372,Zyryanka,RU,1537670368,65.73,150.89,38.15,87,80,3.4
373,Muyezerskiy,RU,1537670368,63.93,31.65,49.17,78,76,8.66
374,Hals,AT,1537667400,48.59,13.46,53.6,93,75,2.24
